evidence_id,case_id,evidence_type,description,seizure_date
EVID0001,CASE001,Wallet,Wallet recovered from the crime scene near Nehru Nagar Junction Road containing identity cards.,2025-01-29 22:21:30
EVID0002,CASE001,Broken Glass,Broken glass shards collected for forensic examination.,2025-01-27 23:50:41
EVID0003,CASE001,Hard Disk,Hard drive containing files and data log information.,2025-02-04 20:32:29
EVID0004,CASE001,SIM Card,SIM card recovered from the suspect's possession's device.,2025-01-29 14:13:04
EVID0005,CASE001,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-01-30 21:37:33
EVID0006,CASE002,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2026-04-23 17:22:40
EVID0007,CASE002,Email Records,Phishing or fraudulent email communications retrieved.,2026-04-23 17:24:20
EVID0008,CASE002,Transaction Receipt,Receipt showing transactions related to the fraud.,2026-04-22 13:17:17
EVID0009,CASE003,SIM Card,SIM card recovered from the suspect's possession's device.,2025-12-31 16:13:59
EVID0010,CASE003,Mobile Phone,Seized phone containing suspicious communications.,2025-12-31 08:40:56
EVID0011,CASE003,Hard Disk,Hard drive containing files and data log information.,2025-12-28 04:54:24
EVID0012,CASE004,Aadhaar Card,Aadhaar Card of the suspect's possession found at the crime scene near Horamavu Agara Main Road.,2025-06-06 14:34:19
EVID0013,CASE004,Spent Cartridge Case,Spent cartridge shell recovered from the location.,2025-06-02 12:33:13
EVID0014,CASE005,Laptop,Personal laptop containing document files related to the case.,2025-04-04 08:56:06
EVID0015,CASE005,Hard Disk,Hard drive containing files and data log information.,2025-04-04 21:31:48
EVID0016,CASE006,Fingerprints,Latent fingerprints lifted from the crime scene near Bejai Cross Road environment.,2025-04-02 02:35:30
EVID0017,CASE006,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-03-27 03:17:04
EVID0018,CASE006,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-04-01 14:38:41
EVID0019,CASE006,CCTV Footage,CCTV footage recorded at the crime scene near Bejai Cross Road location showing the suspect's possession.,2025-04-01 14:57:59
EVID0020,CASE007,Mobile Phone,Seized phone containing suspicious communications.,2026-01-02 20:21:26
EVID0021,CASE008,Fingerprints,Latent fingerprints lifted from the crime scene near Marathahalli Bridge Road environment.,2025-12-09 10:49:34
EVID0022,CASE008,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2025-12-08 13:06:28
EVID0023,CASE008,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2025-12-09 11:36:44
EVID0024,CASE008,CCTV Footage,CCTV footage recorded at the crime scene near Marathahalli Bridge Road location showing the suspect's possession.,2025-12-07 04:12:37
EVID0025,CASE009,UPI Transaction Log,Official transaction statements from UPI bank records.,2025-03-19 15:39:32
EVID0026,CASE009,IP Address Log,IP address access log associated with the fraud transaction.,2025-03-26 23:08:28
EVID0027,CASE010,Vehicle Key,Physical spare keys of the stolen vehicle recovered from the suspect's possession.,2026-05-18 21:39:35
EVID0028,CASE010,Toll Plaza Slip,Toll receipt indicating the movement of the stolen vehicle.,2026-05-15 08:10:16
EVID0029,CASE010,Fingerprints,Latent fingerprints lifted from the crime scene near Saraswathipuram 3th Highway environment.,2026-05-20 14:29:02
EVID0030,CASE010,CCTV Footage,CCTV footage recorded at the crime scene near Saraswathipuram 3th Highway location showing the suspect's possession.,2026-05-16 04:21:21
EVID0031,CASE010,Threat Letter,Threat letter written by the accused received by the victim.,2026-05-22 23:30:05
EVID0032,CASE011,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-02-15 21:16:18
EVID0033,CASE011,IP Address Log,Access logs showing logins to the target banking portal.,2025-02-15 20:18:39
EVID0034,CASE011,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-02-18 17:17:06
EVID0035,CASE012,Wallet,Wallet recovered from the crime scene near Sanjaynagar Double Road containing identity cards.,2026-04-17 19:03:11
EVID0036,CASE012,Mobile Phone,Seized phone containing suspicious communications.,2026-04-20 07:16:45
EVID0037,CASE013,Email Records,Email threads between the complainant and the fraudulent sender.,2026-03-11 07:48:38
EVID0038,CASE013,UPI Transaction Log,Official transaction statements from UPI bank records.,2026-03-09 07:48:03
EVID0039,CASE013,IP Address Log,IP address access log associated with the fraud transaction.,2026-03-11 06:41:18
EVID0040,CASE013,Mobile Phone,Seized smartphone containing suspicious messaging application data.,2026-03-08 14:17:00
EVID0041,CASE013,Wallet,Wallet recovered from the crime scene near Langford Town Bazaar Street containing identity cards.,2026-03-07 22:32:57
EVID0042,CASE014,Transaction Receipt,Receipt showing transactions related to the fraud.,2025-10-20 20:07:47
EVID0043,CASE014,Bank Statement,Certified bank account statements detailing unauthorized transfers.,2025-10-29 10:32:55
EVID0044,CASE015,Mobile Phone,Seized phone containing suspicious communications.,2025-11-13 23:23:44
EVID0045,CASE016,Email Records,Phishing or fraudulent email communications retrieved.,2025-09-12 02:33:42
EVID0046,CASE016,IP Address Log,Access logs showing logins to the target banking portal.,2025-09-09 03:06:58
