case_id,crime_category,crime_subcategory,scenario,complexity,station_id,assigned_officer,priority,status,solved,expected_victims,expected_accused,expected_witnesses,expected_evidence,expected_timeline_events
CASE001,Narcotics,Drug Possession,"During a patrol near Angol Galli, suspect was found in possession of contraband substances.",High,PS043,OFF211,High,Chargesheet Filed,Yes,1,2,5,5,6
CASE002,Fraud,Financial Fraud,The victim was cheated of Rs. 349000 by promising high returns on investment.,Medium,PS042,OFF206,High,Under Investigation,No,1,1,2,3,7
CASE003,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Electronic City Flyover Road causing damage and loss.,Medium,PS012,OFF056,High,Trial in Progress,Yes,1,1,2,3,11
CASE004,Missing Person,Adult Missing,A child went missing from near ISKCON Temple Rajajinagar while playing outside.,Medium,PS019,OFF091,Critical,Evidence Collection,No,1,0,2,2,5
CASE005,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near Banaswadi Galli.,High,PS008,OFF036,Critical,Trial in Progress,Yes,3,3,2,2,5
CASE006,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Hyundai i20 bearing registration number KA-34-NJ-4583 from Bendoorwell Main Road.,Medium,PS042,OFF207,Medium,Under Investigation,No,1,0,2,4,11
CASE007,Missing Person,Child Missing,A child went missing from near Nexus Mall Koramangala while playing outside.,Medium,PS020,OFF097,Critical,Evidence Collection,No,1,0,1,1,6
CASE008,Vehicle Theft,Two Wheeler Theft,The victim noticed that their parked Mahindra Scorpio-N bearing registration number KA-14-ND-7233 was missing from near St. Mark's Cathedral.,Low,PS003,OFF011,Medium,Registered,No,1,1,1,4,11
CASE009,Cyber Crime,UPI Fraud,Victim's social media account was hacked and misuse reported from Nazarbad Bypass Road.,Low,PS035,OFF171,Medium,Trial in Progress,Yes,1,1,1,2,10
CASE010,Vehicle Theft,Four Wheeler Theft,The victim noticed that their parked Yamaha MT-15 bearing registration number KA-49-MN-8306 was missing from near Karanji Lake Mysuru.,Low,PS037,OFF181,Medium,Under Investigation,No,1,2,2,5,11
CASE011,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,Medium,PS039,OFF191,High,Evidence Collection,No,1,1,1,3,7
CASE012,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near New BEL Road Lane.,High,PS006,OFF026,Critical,Case Committed to Court,Yes,1,3,4,2,12
CASE013,Cyber Crime,Phishing,Complainant received phishing messages and lost Rs. 255000 in an online scam.,Medium,PS021,OFF102,Medium,Under Investigation,No,2,2,2,5,11
CASE014,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,Medium,PS004,OFF016,High,Under Investigation,No,1,2,2,2,7
CASE015,Domestic Violence,Physical Abuse,The victim reported that they were physically assaulted by their spouse at Vidyaranyapura Double Road following a domestic dispute.,Medium,PS011,OFF052,High,Under Investigation,No,1,2,1,1,6
